National_Forest,Year,Quarter,Product,Species,Sold_Volume_MBF,Sold_Volume_CCF,Sold_Value,Sold_per_MBF,Sold_per_CCF,Cut_Volume_MBF,Cut_Volume_CCF,Cut_Value
Umatilla,2010.00,1.00,Sawtimber,Western larch,4.16,8.00,308.16,74.08,38.52,0.00,0.00,0.00
Umatilla,2010.00,1.00,Poles,Lodgepole pine,9.90,18.00,360.00,36.36,20.00,28.94,52.61,1052.20
Umatilla,2010.00,1.00,Poles,Softwood Other,0.00,0.00,0.00,0.00,0.00,0.55,1.00,20.00
Umatilla,2010.00,1.00,Posts,Lodgepole pine,0.00,0.00,0.00,0.00,0.00,0.00,1.50,40.00
Umpqua,2010.00,1.00,Sawtimber,Douglas-fir,5039.01,9626.62,68829.37,13.66,7.15,2181.35,4019.27,39486.84
Umpqua,2010.00,1.00,Sawtimber,Western hemlock,0.00,0.00,0.00,0.00,0.00,3.10,5.37,48.33
Umpqua,2010.00,1.00,Sawtimber,Lodgepole pine,0.00,0.00,0.00,0.00,0.00,0.47,0.81,7.29
Umpqua,2010.00,1.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,31.96,55.44,498.96
Umpqua,2010.00,1.00,Sawtimber,White fir,0.00,0.00,0.00,0.00,0.00,62.70,108.78,979.02
Umpqua,2010.00,1.00,Sawtimber,Western white pine,0.00,0.00,0.00,0.00,0.00,62.70,3.21,28.89
Umpqua,2010.00,1.00,Poles,Douglas-fir,0.88,5.50,40.00,45.45,25.00,0.44,0.80,14.00
Umpqua,2010.00,1.00,Poles,Lodgepole pine,5.50,10.00,100.00,18.18,10.00,7.70,14.00,140.00
Wallowa-Whitman,2010.00,1.00,Sawtimber,Douglas-fir,0.00,0.00,0.00,0.00,0.00,2251.02,2251.02,1766.40
Wallowa-Whitman,2010.00,1.00,Sawtimber,Englemann spruce,22.16,40.49,1788.04,80.69,44.16,21.90,40.00,1766.40
Wallowa-Whitman,2010.00,1.00,Sawtimber,Lodgepole pine,0.00,0.00,0.00,0.00,0.00,67.49,126.09,126.09
Wallowa-Whitman,2010.00,1.00,Sawtimber,Ponderosa Pine,0.00,0.00,0.00,0.00,0.00,2254.78,4437.26,357973.69
Wallowa-Whitman,2010.00,1.00,Sawtimber,White fir,0.00,0.00,0.00,0.00,0.00,1684.30,3277.30,30947.15
Wallowa-Whitman,2010.00,1.00,Sawtimber,Western larch,0.79,1.21,51.12,64.71,42.25,0.65,1.00,42.25
Okanogan-Wenatchee,2010.00,1.00,Sawtimber,Douglas-fir,22770.79,42631.15,898656.67,39.47,21.08,1630.18,3128.57,225179.42
Okanogan-Wenatchee,2010.00,1.00,Sawtimber,Grand Fir,6021.14,11258.05,201576.80,33.48,17.91,1072.96,2073.35,13726.42
Okanogan-Wenatchee,2010.00,1.00,Sawtimber,Ponderosa Pine,3356.87,6439.10,92898.24,27.67,14.43,490.07,937.16,6966.39
Okanogan-Wenatchee,2010.00,1.00,Poles,Lodgepole Pine,6.00,11.54,120.00,20.00,10.40,45.25,85.63,1590.00
